,Lithology,,,,,,,,,,Alteration,,,,,Mineralization,,,,
"Hole 
Number","From 
(m)","To 
(m)","Base 
Lithology","Litho 
Detailed","Lith 
General","Lith
Grain Size","Lith
Texture1","Lith 
Texture2","Lith
Texture3",Lith Description,"Alt 
From (m)","Alt
To (m)","Dominant 
Alteration",Intensity,Dominant Alt Mins,"Min 
From (m)","Min
To (m)","Py pct
NV*","Ccp pct
NV*","Bn pct
AXE-23-006,48,53.43,AND,AND,VCB,FG,,,,"light green to pale green, prop alt with weakly phyllic on some parts, volcaniclastic andesite. Weakly magnetic on some parts",48,53.43,PRO,3,"chl, cal,",,,,,
AXE-23-006,53.43,63.8,AND,AND,VCB,FMG,,,,"green to grey, fine to med grained, volcaniclastic andesite.  Some parts show some phenos, with light and dark minerals ~<1mm. Some phenos are replaced by epidote.  moderate prop alt (chl>epi>cal) with phyllic (ser>py>+-sil) on some parts more prominent near structures.  Prop alt observed to be chl on matrix with pervasive epi replacement on phenos and also noted as veins, calcite as fracture fills.  Phyllic alt seems to be more related to fractures/fault. Observed 3 types of veining a) wht mas cal vlt with b) py stringers replacing calcite on fractures c.) grn epi stringers+-cal d) late wht mas cal vein/veinlt 10% fg py+-ccp diss generally on or near fractures related to phyllic alt",53.43,63.8,PRO,4,"chl, ep, cal",53.43,63.8,10,0.1,0
AXE-23-006,63.8,65.16,AND,AND,VCB,FMG,,,,"green to grey, fine to med grained, volcaniclastic andesite.  Prop alt (chl>epi>cal>mag) interval is faulted. The same lith as above, just separated since the alteration changed.",63.8,65.16,PRO,4,"chl, ep,cal, mag",63.8,70.85,0.1,0,0
AXE-23-006,65.16,70.85,MZN,MZN,INT,FMG,POR,,,"green to grey, medium grained monzonite? Phenos observed to be subhedral, ranging from ~<1mm to 1mm.  Alteration is pervasive chl>clay>ser (int argillic) possible primary prop alt (epi+cal) noted.  Wk to mod Magnetite noted on some parts. Pyrite observed near structures and stringer/frac fill.",65.16,70.85,SCC,3,"chl, clay, ser",,,,,
AXE-23-006,70.85,71.85,MZN,MZN,INT,FMG,POR,,,"green to grey, fg to medium grained monzonite? Prop alt (chl>cal>epi) with weak phyllic alt",70.85,71.85,PRO,3,"chl, ep, cal",70.85,71.85,10,0,0
AXE-23-006,71.85,75,FBX,FBX,FLT,FG,,,,"fault zone characterized by fault gouge. Interval also observed to be redrilled composed with rubbles, possible caved in.",71.85,75,SCC,3,"chl, ser, py",71.85,75,10,0,0
AXE-23-006,75,90,MZN,MZN,INT,FMG,POR,,,"green grey, fg to mg monzonite?  Alt assemblage observed to be (chl>epi>mag>cal) Phenos ranges from ~<1mm to 1mm, light phenos possibly plag with dark min replaced by chl, epi and/or mg. Cal on fractures",75,85.3,PRO,3,"chl, ep,mag, cal",75,85.3,0.1,0,0
,,,,,,,,,,,85.3,87.1,PRO,3,"chl, cal, ep",85.3,97.35,0.1,0,0
,,,,,,,,,,,87.1,97.35,PRO,4,"chl, cal, ep",,,,,
AXE-23-006,90,97.35,AND,AND,VCB,,,,,"green to grey, fg volcaniclastic andesite?  Prop alt (chl>cal+-epi)  faulted on some parts, with weakly argillic alt on faulted/sheared zone  drillers had a hard time drilling and getting low to no core recovery. Pulled out and ended the hole. EOH",,,,,,,,,,
AXE-23-007,0,118.25,CL,CL,,,,,,"tri-coned until 118.25m. Casing at 120m. Lost axe-23-005 at 87m, core recovered observed gray, gougy ""sandy"" ground up rk. Possibly strongly faulted, or brecciated, see photo for reference (AXE23-007 0-118.25m)",,,,,,,,,,
AXE-23-007,118.25,123,DIO,DIO,INT,FMG,POR,,,"grey to green, med grained, prop alt dio? Phenos ranges from ~<1mm to 1mm, subhedral, dark phenos noted to be altered to magnetite/pyrrhotite and chl.  Altertation assemblage comprise of chl>epi>carb>mag trace biotite. Epidote has a mottled texture, and replacing some of the phenos. Epidote veining noted as well.  Wk carb on groundmass, observed that epi must be later than the carb alt since its overprinting the rk. Minor fault with gouge observed at 118.42m. Late wht mas cal vl with hem on fractures noted on some parts.  Observed at 121.4m a ~5cm mag+py+ccp veinlets looking like stockworks, observed to be cutting through the epidote alt with py diss at the edges of the magnetite. 1% Blebs and diss of py obsereved.",118.25,123,PRO,4,"chl, ep, carb, mag",118.25,123,1,0,0
AXE-23-007,123,132,DIO,DIO,INT,FMG,POR,PSBX,,"green to grey, med grained, psuedobrecciated (due to epidote alt) prop alt dio? Alt assemblage chl>epi>carb>mag+- bio on some parts weak serecite alt on fractures.  Epidote alteration is stronger in this interval than the previous interval.  Pyrite veining observed to be late mineralization since it could be observed cutting through epidote.  Wht mas cal vlt/stringers noted massive fg, blebbly py veinlets with magnetite halo noted from 131.38m - observed to be replacement from vuggy calcite vein. Noted a dark grey, soft, with black streak occurs with the pyrite.",123,132,PRO,4,"chl, ep,carb, mag, bt",123,132,0.1,0,0
AXE-23-007,132,134.64,DIO,DIO,INT,FMG,,,,"grey to green, fg to mg faulted monzonite phenos composed of white, possibly plag and dark minerals. Raanges from ~<1mm to 1mm.  White minerals observed to be hematite alt on some parts, and some chl alt as well. Trace magnetite. Prop chl>epi>carb with weak argillic alt on fractures/gouge. At Observed some reddish, white and dark min, coarse grained, dio? possibly a different instrusion. Wht plagioclase noted with elongated characteristic, hbl+-bio noted within this lith.",132,134.64,PRO,4,chl>ep>carb,132,144.05,0.1,0,0
AXE-23-007,134.64,137.81,DIO,DIO,,MCG,POR,XEN,,"green to reddish, med to coarse grained, prop alt dio? Possibly different litho from 123-131m.  Alteration observed to be chl>hem>ser>mag magnetite observed to have a clast-like shape, xenolith? Serecite is observed generally on fractures.  Chl alt on dark minerals.  Phenos ranges from ~1mm to 1.5mm. Some white minerals ei plagioclase can be observed to be elongated and noted to might have an alignment (~40deg) reddish possibly hematite noted on groundmass and on frac wht mas cal veinlet/frac fill",134.64,137.81,PRO,3,"chl, ep, mag",,,,,
AXE-23-007,137.81,144.9,DIO,DIO,,MCG,POR,XEN,,"wht with green, med to coarse grained, scc+-epi alt (weakly argillic), diorite.  Wht phenos looks elongated with na alignment, some are soft possibly alt by clay. Dark minerals noted to be alt to chl.  Phenos ranges from ~1mm to 3mm.  Wht mas cal vlts noted. Magnetite xenolith also observed. Hem on fractures noted. Darker alteration with wht mas cal vein and bleb of chalco noted from 144.05 to 144.9m. Looks like a chilled margin, wk to mod magnetic.",137.81,144.9,PRO,2,"chl, ep, hem",144.05,144.9,0,0,0
AXE-23-007,144.9,151.4,DIO,DIO,INT,MG,,,,"green to grey, med grained diorite (back to old dio) alt assemblage of (chl>epi+-ser,sil) - ser on frac  hematite on fractures noted. Fg py on frac observed with trace py on some parts of groundmass.  Epidote stringers. Observed a ~2cm wht-gray qtz-cal vein from 146.4m.  Wht massive cal vlt noted throughout the interval.",144.9,151.4,PRO,4,"chl, ep",144.9,151.4,0.1,0,0
AXE-23-007,151.4,154.7,DIO,DIO,INT,FMG,,,,"green to grey, fg to mg prop alt diorite. Mottled textured epidote noted within this interval.  Minor clay alt near fractures. Alt assemblage chl>epi>carb +hem on frac fg py on frac noted as well",151.4,154.7,PRO,4,"chl, ep, carb, hem",151.4,155.1,0.1,0,0
AXE-23-007,154.7,159,AND,AND,VCB,,,,,"grey to green, prop alt volcaniclastic/brecciated andesite? Wk to mod chl>epi>ser>sil (phyllic) alt with 1% fg py diss.  vfg ccp noted as well on groundmass from ~156m.  Massive Fg py+-ccp stringers/vlt noted as well with Minor kspar alteration noted from ~157.9m to 158.6.",154.7,157,PRO,3,"chl, ep",155.1,159,0.1,0.1,0
,,,,,,,,,,,157,159,PRO,3,"chl, ep",,,,,
AXE-23-007,159,162.28,DIO,DIO,INT,MG,,,,"green to grey, med grained, dio alt assemblage of (chl>epi>carb>hem on frac) py diss on some parts",159,162.28,PRO,3,"cl, ep, carb, hem",159,162.28,0.1,0,0
AXE-23-007,162.28,167.15,DIO,DIO,INT,FG,,,,"grey green, fg prop alt dio? Looks different, possibly younger since epidote alt doesn’t have a mottled texture and seems to be weaker. Chl>carb+mag-+epi fg massive patches to blebby py+mg stringers noted in this interval. Late (due to cutting through the py stringers) wht mass-weakly comb qtz-cal vein",162.28,167.15,PRO,3,"chl, carb, mag, ep",162.28,167.15,1,0,0
AXE-23-007,167.15,181.68,AND,AND,VCB,FG,PSBX,,,"grey to greenish, mottled, fg, volcaniclastic andesite?  Chl>epi>mag>carb>hem>weakly argillic on structures 5% blebby py diss. Skarn alt from 178.32m to 181.68 - observed higher mag and patches of reddish brown min possibly garnet with epidote. Vuggy to comb Epidote-cal-mag vein with py+pyrrhotite+dark sulphides (possibly cu sulphides) noted from 179.55m.  wht mas cal vlt/frac fill epi stringers",167.15,178.32,PRO,4,"chl, ep, mag, carb,hem",167.15,178.32,5,0,0
,,,,,,,,,,,178.32,181.68,PRO,4,mag,178.32,180,1,0,0
AXE-23-007,181.68,182.1,MAD,MAD,DYK,FG,POR,,,"grey, fine grained groundmass, with ~1mm black, hbl? Phenos. Calcite vl noted.",181.68,182.1,PRO,2,,,,,,
AXE-23-007,182.1,186.7,DIO,DIO,VCB,FMG,,,,"fg to mg, prop alt diorite?  Mafic minerals present ~<1mm to 1mm, weakly replaced by mag and chl. Mottled epidote texture overprint.  Py stringers and py diss, specular hema str noted as well. Patches of ccp observed generally near or on an epidote alt.  Epi and cal stringers noted",182.1,186.7,PRO,3,"chl, ep",181.6,186.7,0.1,0.1,0
AXE-23-007,186.7,187.54,AND,AND,INT,FG,PSBX,,,"green grey, fg vlcl and? Mottled texture due to epi>kspar? Alt.  Salmon pink, kspar? Overprint epidote alt.  Specular hema with patches of py noted within the interval",186.7,187.54,PRO,3,"chl, ep, mag",186.7,187.54,1,0,0
AXE-23-007,187.54,192.65,AND,AND,VCB,FG,,,,"grey to green, fg, prop alt vlcl andesite? Interval is moderately broken, fractured  observed at ~189m, polymictic clasts ranges ~0.5cm wht-crm subhedral plag?, and ~0.5cm green, subhedral chl alt mineral Chl>carb>epi>hem alt  hem on fract, wk epi alt compared to previous interval.  Carbonate on groundmass is more prominent in this interval 1% patches of py noted within the interval. Wht mas cal with hematite overprint. Specular hematite also noted",187.54,192.65,PRO,3,"chl, carb, ep, hem",187.54,192.65,1,0,0
AXE-23-007,192.65,196.09,AND,AND,VCB,FG,PSBX,,,"green to grey, prop alt mottled texture, vlcl and?  Epi>chl>carb Mottled texture due to epi overprint. Green massive, vuggy cal overprinted by epi noted within the interval.  Minor kspar alt on some phenos noted, with mag+py as fracture fills",192.65,196.09,PRO,4,"ep, chl, carb",192.65,196.09,0.1,0,0
AXE-23-007,196.09,203.72,AND,AND,VCB,MG,POR,,,"cream to white, med grained, vlcl and? Phenos ranges from ~1mm to 5mm, anhedral to subhedral. Wk to mod serecite-chlorite-clay-carb (int argillic to weakly phyllic) alt minor epidote on some parts. Magnetite replacement on some phenos noted.  Trace py diss",196.09,203.72,SCC,3,"ser, chl, clay, carb",196.09,203.72,0.1,0,0
AXE-23-007,203.72,205,AND,AND,INT,FG,PSBX,,,"green to grey, a little pale, fine grained, vlcl andesite? Pervasive mottled epidote overprint. (epi>chl+-mag) wht mas cal vl",203.72,205,PRO,3,"chl, ep, mag",203.72,205,0,0,0
AXE-23-007,205,217.43,AND,AND,SVI,FMG,XEN,,,"fg to mg, light cream to white, pale, SCC alt with epidote on some parts, vlcl and? Vuggy? On some parts with epidote replacement. Patches of py on phenos/fractures noted. Patches of fg ccp on some parts",205,217.43,SCC,3,"ser, chl, clay",205,217.43,0.1,0.1,0
AXE-23-007,217.43,218.52,AND,AND,VCB,FG,,,,"fg pale green, vlcl andesite.  weakly prop to weak to mod phyllic (chl>ser>qtz) 0.5% fg ox py diss",217.43,218.52,PHY,3,"ser, qtz, chl",217.43,218.52,0.5,0,0
AXE-23-007,218.52,226.91,VCL,VCL,SVI,MCG,XEN,,,"pale green, polymictic clasts, phyllic (ser-chl-sil-carb) alt, volcaniclastics. Clasts composed of subrounded to angular with sizes ranges from ~1mm to 1cm.  Elongated, dark minerals altered generally to chlorite, and some light clasts possibly plag are altered to kspar and serecite. Minor mag alt on some parts noted.  From ~222.8 to 222.9m, a magnetite-ep-gar ""vein"" is observed. Seems like mag vein is older and must have been disturbed by the subvolcanic intrusion.  Trace py on dark min noted",218.52,226.91,PHY,3,"ser, chl, sil, carb",218.52,226.91,0.1,0,0
AXE-23-007,226.91,235.18,MM,MM,,VFG,,,,"fg, dark magnetite skarn.  Epi-act-chl-py noted within the interval.  20% fg py diss/str with 0.1% ccp.",226.91,235.18,SKN,6,"ep, act, chl, py",226.91,235.18,10,0.1,0
AXE-23-007,235.18,237.54,MM,MM,,FG,,,,"green mottled texture, mod magnetic skarn alt rk 0.5% patches of py and str 0.1% ccp patches hematite on fract noted",235.18,237.54,SKN,5,"ep, mag",235.18,237.54,0.3,0.1,0
AXE-23-007,237.54,240,MM,MM,,FG,,,,"fg, dark magnetite skarn.  Epi-act-chl-py+-ccp noted within the interval.",237.54,240,SKN,6,"ep, act, chl, py",237.54,240,10,0.1,0
AXE-23-007,240,259.3,VCL,VCL,,MCG,,,,"pale green, polymictic clasts, phyllic (ser-chl-sil-carb) alt, volcaniclastics. Clasts composed of subrounded to angular with sizes ranges from ~1mm to 1cm. Obseved to be crowded.  Elongated, dark minerals altered generally to chlorite, and some light clasts possibly plag are altered to kspar and serecite. Serecite on fractures also noted, weak hematite on some parts Minor mag alt on some parts noted.",240,259.3,SCC,3,"ser, chl, clay, sil,",240,259.3,0.1,0,0
AXE-23-007,259.3,261.7,MM,MM,,FG,,,,"green mottled texture, mod magnetic skarn alt rk 5% patches of py and str 0.5% ccp patches hematite on fract noted",259.3,261.7,SKN,5,"ep, mag, hem, py, ccp",259.3,261.7,2.5,0.5,0
AXE-23-007,261.7,268.2,VCL,VCL,,CG,SER,XEN,,"pale green, polymictic clasts, phyllic (ser-chl-sil-carb) alt, volcaniclastics. Clasts are crowded looking, ranges from <1cm to 8cm.  Dark clasts are altered to chl-epi while the lighter clasts are altered to clay, and serecite.  Cal veinlets noted on some parts, and on frac fills.  Non magnetic",261.7,268.2,SCC,4,"ser, chl, clay, carb, sil",261.7,268.2,0,0,0
AXE-23-007,268.2,270.2,MM,MM,,,,,,"green mottled texture, mod magnetic skarn alt rk alt assemblages (epi>chl>ser>mag>garnet) 5% patches of fg py+ccp+mag blebs of garnet present at ~269.4m.",268.2,270.2,SKN,4,"ep, chl, ser, mag, grt",268.2,274.66,2.5,2.5,0
AXE-23-007,270.2,274.66,VCL,VCL,,MCG,,,,"pale green, polymictic clasts, phyllic (ser-chl-sil-carb) alt, volcaniclastics. Clasts are crowded looking, ranges from <1cm to 8cm.  Dark clasts are altered to chl-epi while the lighter clasts are altered to clay, and serecite.",270.2,271.55,SCC,3,"ser, chl, sil, carb",,,,,
,,,,,,,,,,,271.55,288.12,PRO,4,"chl, ep, carb",,,,,
AXE-23-007,274.66,288.12,VCL,VCL,SVI,MCG,XEN,,,"green to grey, mod prop (chl>epi>carb) with weak phyllic (ser>py>sil) alt, volcaniclastic.  Subhedral to euhedral clasts observed within the interval. Wht elongated phenos possibly plag with size ranging from >1cm to 3cm, noted on some parts.  Dark minerals observed to be altered to chlorite and magnetite.  Magnetite clast also noted at ~283.4m size range of 3.5cm.  Vuggy calcite vein from 277.10m to 278.88m, noted to have been replaced by epi>mag>py>ccp>garnet?  A ~0.10m brecciated, with mag-py+ccp-garnet and a pink mod soft carbonate mineral, possibly rhodochrosite? Observed at 280.59m.",,,,,,274.66,288.12,1,0.1,0
AXE-23-007,288.12,291.39,MAD,MAD,DYK,FG,,,,"grey, fg mafic dyke, weakly prop alt",288.12,291.39,PRO,2,"chl, carb, mag",288.12,291.39,0,0,0
AXE-23-007,291.39,302.59,VCL,VCL,SVI,CG,,,,"green to grey, mod prop (chl>epi>carb) with weak phyllic (ser>py>sil) alt, volcaniclastic.  Subhedral to euhedral clasts observed within the interval. Same as the other vlcl",291.39,311.9,PRO,3,"chl, ep, carb",291.39,311.19,1,0,0
,,,,,,,,,,,311.9,344.51,PRO,3,"chl, ep, mag",,,,,
,,,,,,,,,,,344.51,380.34,PRO,5,"chl, ep, mag",,,,,
,,,,,,,,,,,380.34,446.69,PRO,3,"chl, ep, mag",,,,,
AXE-23-007,302.59,304.68,VCL,VCL,FLT,CG,,,,"green to grey, mod prop (chl>epi>carb) with weak phyllic (ser>py>sil) alt, volcaniclastic.  Subhedral to euhedral clasts observed within the interval. Faulted",,,,,,,,,,
AXE-23-007,304.68,311.19,VCL,VCL,SVI,MCG,XEN,,,"green to grey, mod prop (chl>epi>carb) with weak sil volcaniclatsic Crowded, 1mm to 1cm clast sizes, subhedral. Dark min altered to chl, weakly mag on some parts, pheno selective kspars - not determined whether an alteration or clasts.",,,,,,,,,,
AXE-23-007,311.19,446.69,VCL,VCL,SVI,MCG,XEN,,,"Volcaniclastic Conglomerate   Green-grey medium grained polymictic volcaniclastic Conglomerate. Clasts vary in size (0.2 - 2cm), angularity (angular to subrounded/rounded) and varying alteration assemblages. Clasts are dominated by 4 lithologies consisting of strongly altered Epidote-Sericite Andesites, Aphanitic mafic-Andesite/basalt +/- Magnetite, undifferentiated Rhyolite/intrusive with Plagioclase phenocrysts and strong Hematite staining, +/- Silicification and +/- Potassic alteration and strongly altered vuggy Limestone clasts replaced by Py-Cp +/- Magnetite/Actinolite. The green-grey groundmass consists of mostly Chlorite-Sericite and pervasive sections of Epidote. Limestone clasts are observed within the conglomerate clast assemblage, likely apart of the Harmon Formation (240-214 Ma).",,,,,,311.19,332.15,0.01,0.01,0
,,,,,,,,,,,,,,,,332.15,349.26,0.01,0,0
,,,,,,,,,,,,,,,,349.26,360,0.01,0.01,0
,,,,,,,,,,,,,,,,360,384.22,0.01,0.01,0
,,,,,,,,,,,,,,,,384.22,419.15,0.01,0.01,0
,,,,,,,,,,,,,,,,419.15,446.69,0.1,0,0
AXE-23-007,446.69,451.51,VCL,VCL,,FMG,STR,,,"green to grey, prop alt, volcaniclastic. Noted fine grained sandstone from ~450.66m to 451.51m.  0.5% patches of fg py noted with epidote alt calcite as fracture fills noted.",446.69,451.51,PRO,4,"chl, ep, carb, mag, hem",446.69,451.51,0.5,0,0
AXE-23-007,451.51,459,VCL,VCL,VCB,MCG,,,,"green to gry, med to coarse grained volcaniclastic andesite.  Polymictic clasts, ranges from 1mm to 4cm.  Clasts are altered to chl-hem and groundmass is weakly magnetic  ~18cm of wht-gry massive qtz vein? with mag-hem-py+-ccp noted from 451.51m. Magnetite-hem(specular) seems to replace actinolite, retaining its bladed structure. Possibly skarn? Ended the hole due to low mineralization noted. EOH.",451.51,459,PRO,4,"chl, ep, carb",451.51,459,0.1,0,0
AXE-23-008,0,19,OVB,OVB,NC,,,,,"no core recovered, hit bedrock",,,,,,,,,,
AXE-23-008,19,21,CL,CL,NC,,,,,bedrock. casing to 21m. No core recovered,,,,,,,,,,
AXE-23-008,21,47.88,DIO,DIO,INT,MG,,,,"grey to green, medium grained, weakly prop alt diorite. Mod oxidized from 21m-27.9m, with weak oxidation on fractures until 36m.  ~1mm pheno sizes, generally consistent all throughout the interval. Dark minerals (hbl+-bio) altered mainly to chl.  Light minerals weakly altered to a softer clay? mineral Chl alt with minor epi+carb on fractures patches of pyrite noted near veins/fractures, py stringers noted as well. Fg ox py+-ccp observed.  Weakly magnetic on some parts from 21m to 27m, observed unfilled/weathered veinlets/stringers.  Wht massive calcite vlt/str noted.",21,47.88,PRO,2,"chl, ep, carb",21,47.88,0.5,0.1,0
